_index,_type,_id,_score,_source/uuid
news_articles,_doc,tKnyeHEBQ7bCTl73mmPt,22.54074,ba53b32fdee446666c32d291f061993a815526a4
news_articles,_doc,zqfweHEBQ7bCTl732Wju,22.529255,c8c91a40ad3b8709666bacc89317891ff2a1bbac
news_articles,_doc,mqv0eHEBQ7bCTl730Ktd,22.507767,c78175c3005ea13279dc62358772c17e64373ff9
news_articles,_doc,lKv0eHEBQ7bCTl73mG0f,22.440008,fd9a48062ec50c798fc4ed07ae4b58f621098fbe
news_articles,_doc,-6rzeHEBQ7bCTl73OC8I,22.38314,8c70164618dc0dd4f5002d1be97c6c089c7bef25
news_articles,_doc,L6jyeHEBQ7bCTl73L_Jq,22.281403,519051bcc1d168f0e8a7d2ddc5dfd34d9bc13db1
news_articles,_doc,8anyeHEBQ7bCTl73mn7u,22.243921,090071882486bbce27c1c5fe470ea6907fce6fbb
news_articles,_doc,N6rzeHEBQ7bCTl73OBYG,22.22379,4d05c8dee7971f715883f2cf6a3536699b0fe27c
news_articles,_doc,3KjxeHEBQ7bCTl73-t0V,22.167416,4397a717fab2d65fba4faeab2cc7a35fbc1c4821
news_articles,_doc,Jav0eHEBQ7bCTl73VFYv,22.15141,e64e63bd7f4c7028ea39f8688759a0f27cdf9c1e
news_articles,_doc,dajxeHEBQ7bCTl73k1PD,22.086437,6051a14e378ef4c9ceb570b770da5ff123d6cb6d
news_articles,_doc,GKfxeHEBQ7bCTl73NfVJ,22.068754,8289dbb90931e7dc45da52c038c95d5b1fd5dd43
news_articles,_doc,yKrzeHEBQ7bCTl73lqbd,22.065685,ef83bfb55244d9c0e23cc0ffc30cedcb61765677
news_articles,_doc,g6rzeHEBQ7bCTl73lovb,22.056795,d2117224af8ab0baa03696d42757ad632415af0e
news_articles,_doc,qqv0eHEBQ7bCTl730M5f,22.054089,1b0ae96dc3dd50ef50d00d50116c77aabf7af395
news_articles,_doc,p6v0eHEBQ7bCTl739uKF,22.053097,11ec2994bb7445414b2f096c0f2bbeb30777f4c5
news_articles,_doc,7KjxeHEBQ7bCTl73Yi58,22.048304,331bf81f37f4338a2d98fb3bbeb711492e3494cd
news_articles,_doc,8ajxeHEBQ7bCTl73k0bC,22.019447,fd67eebdd37a55881da8cfded9eedb14b35e099d
news_articles,_doc,x6rzeHEBQ7bCTl73lpzc,22.003235,e987e3a90b5e860e2e636a7d50255f3f36ff9a5f
news_articles,_doc,PKfweHEBQ7bCTl732Yf0,21.970806,5de89561c7e8bbf93772b93b9d584c31a0f1ff1d
news_articles,_doc,w6rzeHEBQ7bCTl73lqnd,21.965876,62d364f8837fcf7df2588c900ab599b333864dd5
news_articles,_doc,5qv0eHEBQ7bCTl73Cwyf,21.923008,8cfe8f1eed1e8105e4e2b78aa207ee3de12c6b1b
news_articles,_doc,qKnyeHEBQ7bCTl731rEm,21.862556,9f84f9c5be050fb580749bacdd76ab0067fb9e0c
news_articles,_doc,u6v0eHEBQ7bCTl73Cwaf,21.860277,92ecd18b89a0830c3de8e5d4512245a3310512a9
news_articles,_doc,nanyeHEBQ7bCTl731p8l,21.856073,cd142ad0d6440fc672a7174e44f2f49621eff746
news_articles,_doc,QKnzeHEBQ7bCTl73B-6f,21.830511,350b4d91a24030ca0fbe1cd5c342abe58c771596
news_articles,_doc,6qrzeHEBQ7bCTl73OA0G,21.830317,6e9aeae159b1427d588eb0d24adc81dacaada8cc
news_articles,_doc,t6v0eHEBQ7bCTl73VEIu,21.828821,4192b08ce2c187543714e7f5e450514fb66448d0
news_articles,_doc,SqrzeHEBQ7bCTl73alDK,21.821196,d73a61dd21982ccb9d6aa423322553781b42ce77
news_articles,_doc,A6fxeHEBQ7bCTl73NcVD,21.801714,cde2b41febcdb39149148cd6bf04caba3166bd3f
news_articles,_doc,xqrzeHEBQ7bCTl73ODMI,21.787111,96ed7d5e79060ede15141151d889fdb58f67494d
news_articles,_doc,cqnzeHEBQ7bCTl73B_Wf,21.776594,116d88768bd1698ab5206835268b9d63f0eda595
news_articles,_doc,Bav0eHEBQ7bCTl730LVd,21.77158,00db2fed794b5a94f6c14c94557bb2447ec22ae9
news_articles,_doc,C6rzeHEBQ7bCTl73amXL,21.737776,d687e035e6051e635a5089fd1dd079fa480c42c1
