UUID Solr;UUID Elastic;UUID Manticore;Wszystkie;Wszystkie (bez duplikatów);Relewantny globalnie;Rel w Solr;Rel w Elast;Rel W Mant;;TP Solr;FP Solr;FN Solr;TN Solr;;TP Elastic;FP Elastic;FN Elastic;TN Elastic;;TP Manticore;FP Manti;FN Manti;TN Manti;;;;;;;;;;
8067ab2186d1954168694d54524041b6905037f7;b6fc92c6ebcae95d15f1648a1d0f32a2f0e31793; 98754aecfc9432c095f26d1cc67420b3206cc79b;8067ab2186d1954168694d54524041b6905037f7;8067ab2186d1954168694d54524041b6905037f7;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
bcab9496f2205c7e84e4ec543432c35bb92a1c4f;a5fc8af3e0b7cf93a92db15de6da229b8a6b4bd1; f3854cb14b8a93ebc3405b2d677311bedf32b767;bcab9496f2205c7e84e4ec543432c35bb92a1c4f;bcab9496f2205c7e84e4ec543432c35bb92a1c4f;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
cc82b8b7c78a7f13dcf14b3c74ebdef54d237ac5;62c2d5e88667f673c04407e42e5798b00fff9c34; 6fa394459db3079f8d88d27aff1af5f72beb7166;cc82b8b7c78a7f13dcf14b3c74ebdef54d237ac5;cc82b8b7c78a7f13dcf14b3c74ebdef54d237ac5;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
1560748027744c498c27c84c602ca4ddab6650aa;8be808ff30f74601bba3ce2f20d5eacb7bab0129; f538585dc2185b1e606f92e8c368247e8b9593f8;1560748027744c498c27c84c602ca4ddab6650aa;1560748027744c498c27c84c602ca4ddab6650aa;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
c6f68e9ea1631a55d5b3e84916a66b992f646601;21eeaed02ecefb3b7d6f2a06ebfe7a4ff6370205; c1c7d43e5bbba533a4fb24701f5782ca8d483979;c6f68e9ea1631a55d5b3e84916a66b992f646601;c6f68e9ea1631a55d5b3e84916a66b992f646601;TRUE;TRUE;TRUE;FALSE;;TRUE;FALSE;FALSE;FALSE;;TRUE;FALSE;FALSE;FALSE;;FALSE;FALSE;TRUE;FALSE;;;;;;;;;;
5050058e5cfa76da75cc9ab73eff63d8723f1ff0;3f906d22c7eb75c0d2bbe4ebe5016a415d831090; 64d861bd070acd02797a524cc9c5de6bd22d7795;5050058e5cfa76da75cc9ab73eff63d8723f1ff0;5050058e5cfa76da75cc9ab73eff63d8723f1ff0;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
8289dbb90931e7dc45da52c038c95d5b1fd5dd43;c07db96bd9c99602822aa36157e62b71913b4524; 598cefff5c58825ea4c94c7a5b715076f579bd65;8289dbb90931e7dc45da52c038c95d5b1fd5dd43;8289dbb90931e7dc45da52c038c95d5b1fd5dd43;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
91f595e7a7d758604ba7a90452e31acd8448d0f4;11ed17d1dde2696db543e313f4447e74c222564d; 7dafb8df8b752fa99f54d0f724b7aa76f261b69c;91f595e7a7d758604ba7a90452e31acd8448d0f4;91f595e7a7d758604ba7a90452e31acd8448d0f4;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
8003347d9d6cd34f27482ac6176023a7467247c6;e1dc6f2967e92eaa7803b7a4726cc9a7d5b2a6cd; 8d9ec74a2fe5ec321cddfd203975744cdb892769;8003347d9d6cd34f27482ac6176023a7467247c6;8003347d9d6cd34f27482ac6176023a7467247c6;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
b864641c6b6b411750d0945244a836da25a06a71;f6981a52c57150bf9a1fe131884ac06d4115728f; 4ee941ea2fa41d95e7b02588ec7862d9a6c5ce24;b864641c6b6b411750d0945244a836da25a06a71;b864641c6b6b411750d0945244a836da25a06a71;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
7ae672acfa96fb14eba358d5523d0bd526d63359;a82c276ebfa04afa5be16b00b3f4641ea2db7570; 223d75fe23cdef791482e0cdff59cbff96741d13;7ae672acfa96fb14eba358d5523d0bd526d63359;7ae672acfa96fb14eba358d5523d0bd526d63359;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
acf2fe10ba259f4e293696f41e578f858cf4ea75;cc12a52586ddc8b1f9cf41583be2a3e09871b746; 8647334e01bc8795c2ea314000d090f06aa8f049;acf2fe10ba259f4e293696f41e578f858cf4ea75;acf2fe10ba259f4e293696f41e578f858cf4ea75;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
c1d1d34f801b11b9412b278a805962cd9fee7c8c;f859d971be3468d834c48172ac37eccf4d7ad5b5; 1411813404b662c1e874ac743d8bc09bf2e3d19b;c1d1d34f801b11b9412b278a805962cd9fee7c8c;c1d1d34f801b11b9412b278a805962cd9fee7c8c;FALSE;TRUE;FALSE;FALSE;;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;;;;;;;;;;
